37.7749,-122.4194
34.0522,-118.2437
40.7128,-74.0060
51.5074,-0.1278
48.8566,2.3522
35.682839,139.759455
41.8781,-87.6298
52.5200,13.4050
45.5088,-73.5878
41.8919,12.5113
55.7558,37.6176
52.2297,21.0122
19.4326,-99.1332
33.6844,-117.8265
53.3498,-6.2603
38.8951,-77.0364
49.2827,-123.1207
40.7128,-74.0060
37.3541,-121.9552
51.1657,10.4515
48.8566,2.3522
52.5200,13.4050
35.682839,139.759455
41.8781,-87.6298
19.0760,72.8777
34.0522,-118.2437
55.7558,37.6176
45.5088,-73.5878
37.7749,-122.4194
33.6844,-117.8265
41.8919,12.5113
53.3498,-6.2603
55.7558,37.6176
40.7128,-74.0060
48.8566,2.3522
34.0522,-118.2437
52.5200,13.4050
19.4326,-99.1332
45.5088,-73.5878
37.7749,-122.4194
35.682839,139.759455
41.8781,-87.6298
51.5074,-0.1278
53.3498,-6.2603
52.2297,21.0122
33.6844,-117.8265
37.3541,-121.9552
52.5200,13.4050
40.7128,-74.0060
48.8566,2.3522
